 ID,Name,Order,Description,Completed by,Course,Created,Updated
12,Resume,1,Get information about each job and position I had,,How to Write a Great Resume,2025-05-02T01:08:24.292Z,2025-05-02T01:08:24.292Z
11,Bank Account,1.23,Find a banking institution that fits my needs,,Manage a Savings Account,2025-01-24T23:59:25.106Z,2025-01-24T23:59:25.106Z
10,Step 10: Focus on Self-Care and Adjustment,10,"Healthy Routines: Establish daily routines that include exercise, healthy eating, and mindfulness practices.
Community Involvement: Engage with your community through activities, workshops, or local events to foster a sense of belonging.",,Ten Reentry Steps,2024-10-06T16:47:12.041Z,2024-10-06T16:47:12.041Z
9,Step 9: Build a Support Network,9,"Reconnect with Family and Friends: Strengthen your support system by reaching out to loved ones.
Support Groups: Join support groups for people reentering society to share experiences and coping strategies.",,Ten Reentry Steps,2024-10-06T16:46:56.071Z,2024-10-06T16:46:56.071Z
8,Step 8: Understand Your Rights,8,"Know Your Legal Rights: Familiarize yourself with your rights regarding housing and employment, particularly concerning discrimination due to your criminal record.
Legal Aid Resources: Connect with organizations that provide legal assistance if you face discrimination or challenges.",,Ten Reentry Steps,2024-10-06T16:46:44.227Z,2024-10-06T16:46:44.227Z
7,Step 7: Prepare for Interviews,7,"Mock Interviews: Practice interviewing with friends, family, or career coaches to build confidence.
Discuss Your Background: Be prepared to explain your incarceration in a positive light, focusing on what you learned and how you've changed.",,Ten Reentry Steps,2024-10-06T16:46:30.631Z,2024-10-06T16:46:30.631Z
6,Step 6: Job Search and Application,6,"Resume and Cover Letter: Create a professional resume and cover letter that highlight your skills and experience.
Job Portals and Networking: Use job search websites (like Indeed or LinkedIn) and network through community organizations or job fairs.",,Ten Reentry Steps,2024-10-06T16:46:09.563Z,2024-10-06T16:46:09.563Z
5,Step 5: Develop Job Skills,5,"Job Training Programs: Enroll in programs that offer skills training and workshops to enhance your employability.
Volunteer Opportunities: Gain experience and build your resume by volunteering with local nonprofits.",,Ten Reentry Steps,2024-10-06T16:45:57.068Z,2024-10-06T16:45:57.068Z
4,Step 4: Connect with Support Services,4,"Reentry Programs: Seek out local organizations that offer support for formerly incarcerated individuals, such as the Philadelphia Reentry Coalition.
Mental Health Services: Consider accessing counseling or mental health services to help with the transition.",,Ten Reentry Steps,2024-10-06T16:45:36.879Z,2024-10-06T16:45:36.879Z
3,Step 3: Find Stable Housing,3,"Temporary Housing: Look for shelters or transitional housing programs specifically for those reentering society.
Search for Permanent Housing: Use resources like the Philadelphia Housing Authority or local housing agencies. Check for any programs that assist individuals with criminal records.",,Ten Reentry Steps,2024-10-06T16:45:12.980Z,2024-10-06T16:45:12.980Z
2,Step 2: Secure Identification,2,"Obtain Necessary IDs: Ensure you have a government-issued ID, Social Security card, and any necessary documents that can aid in employment and housing applications.
Contact Local Organizations: Organizations like the Philadelphia Office of Reentry Partnerships can help with obtaining these documents.",,Ten Reentry Steps,2024-10-06T16:44:53.128Z,2024-10-06T16:44:53.128Z
1,Step 1: Create a Reentry Plan,1,"Assess Your Needs: Outline your immediate needs for housing, employment, and support.
Set Goals: Identify short-term and long-term goals, such as finding a job within three months or stable housing within six.",,Ten Reentry Steps,2024-10-06T16:44:32.708Z,2025-01-24T23:23:11.907Z
