 ID,Company Name,LOCATION,Lat Long,Test ID 1,Test ID 2,Service Type 1,Service Type 2,Service Type 3,Abbv.,Text Description,Phone Number,Phone 2,Extension,Web Address,Main Email,State,Zip Code,County,Region,Hours,Hours of Service,Main Name,Main First,Main Last,Main Contact Position,Main Contact Phone,Main Contact Email,Secondary Name,Secondary First Name,Secondary Last Name,Secondary Contact Position,Secondary Contact Phone,Secondary Contact Email,Image,SEARCH INDEX,Tags,Notes,Verified,ChannelUsers,Replies Often?,Contacted Often?,Has Been Interviewed?,Draft?,Street View URL,Map Embed URL,Relevant Resources,Resource Types,Favorited,Created,Updated
489,The Fountain Fund,"245 N Broad St suite 300, Philadelphia, PA 19107, USA","39.95710372163185, -75.16240371416484",Center for Employment Opportunity,,Support Services,Life Skills,Benefits,,"Improving the lives of the formerly incarcerated by providing low-interest loans, financial coaching, and community support.

The Fountain Fund is a nonprofit lender that provides low-interest loans and financial coaching to people formerly incarcerated (Client Partners), helping them build credit and achieve their self-determined goals. There is no other organization in the country providing very low-interest loans and financial coaching exclusively to previously incarcerated individuals.

The Fountain Fund offers required financial literacy training which  includes resources related to finances and credit building, group workshops and one-on-one financial coaching to give Client Partners the information, understanding and skills to build credit. In addition, the program connects Client Partners with various community resources to help them make the most of a fresh start and advocates for public policy that increases economic opportunities and reduces obstacles for people formerly incarcerated.",(267) 209-0042,,,www.fountainfund.org,philly@fountainfund.org,PA,19107,Philadelphia,,"Monday to Friday, 9AM to 5PM",,Michael Butler,,,Site Director,(267) 562-2006,mbutler@fountainfund.org,Tom Duffin,,,"Executive Director, Penn Restorative Entrepreneurship Program",(610) 574-3471,tduffin@upenn.edu,"{'url':'a1cf926b8b1ffd3ee2d358601cfd61442f070a567535f6034ff332a1a9d224dc.jpg','size':61254,'width':2535,'height':1250,'filename':'The-Fountain-Fund-full-color-white-bg.jpg','metadata':{'width':2535,'height':1250,'blurHash':'eLSigR-;?a?bD*~qj[xtofM{s;j[Rjayt7~pkBRkj[t7-;j[M|azt6','blurHashWidth':32}}",,,,TRUE,,TRUE,TRUE,TRUE,FALSE,,,,,,2024-12-09T18:05:38.481Z,2025-08-21T17:58:21.288Z
488,Broad Street Love,"315 S Broad St, Philadelphia, PA 19107, USA","39.94613588960327, -75.1647525094843",,,Support Services,Wellness,Employment,,"Broad Street Love provides stabilizing services to those experiencing deep poverty. Rooted in dignity and care, we offer an open, safe space for hundreds of guests every weekday.

This is a non-traditional social service environment providing barrier-free, relevant, and responsive supportive services to a diverse community of Philadelphians. The organization's mission is to transform our city, our institutions, and ourselves by embracing the individual needs of our most vulnerable neighbors. BSL practices radical hospitality by embracing all individuals with enduring empathy and care. BSL reaches beyond the societal norms of service, confronts the injustices that oppress their most vulnerable members, and fundamentally shifts the expectations of how they engage with guests, staff, volunteers, and community partners. BSL sustains a fervor that one day this practice of hospitality will be pervasive and no longer be considered a radical act.",(215) 735-4847,,,broadstreetlove.org,info@broadstreetlove.org,,,,,,,John Doe,,,Example Position,888-888-8888,Example@email.com,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-12-04T22:11:17.455Z,2025-08-21T18:12:54.531Z
487,Triple Bottom Brewery,"915 Spring Garden St, Philadelphia, PA 19123, USA","39.9618018856345, -75.15360213934774",,,Food,Other,Other,,,888-888-8888,,,https://triplebottombrewing.com/,hello@triplebottombrewing.com,,,,,"Thursday	3–10 PM
Friday	3–10 PM
Saturday	12–10 PM
Sunday	12–7 PM
Monday	Closed
Tuesday	Closed
Wednesday	3–10 PM",,John Doe,,,Owner,888-888-8888,Example@email.com,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:58:50.219Z,2025-08-21T18:15:44.730Z
486,Down North Pizza,"2804 W Lehigh Ave, Philadelphia, PA 19132, USA","39.99676652311965, -75.17717358434102",,,,,,,,(215) 377-9787,,,downnorthpizza.com,,,,,,"Thursday	12–9 PM
Friday	12–10 PM
Saturday	12–10 PM
Sunday	12–8 PM
Monday	Closed
Tuesday	Closed
Wednesday	Closed",,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:58:05.379Z,2025-08-21T18:24:51.011Z
485,The Center for Employment Opportunities,"245 N Broad St suite 300, Philadelphia, PA 19107, USA","39.95710372163185, -75.16240371416484",,,,,,CEO,,2153097220,,,https://www.ceoworks.org/philadelphia,CEOPhiladelphia@ceoworks.org,,,,,Mon-Fri 9-5,,Regnarian Jenkins,Regnarian,Jenkins,Supportive Services,445-238-3379,ibobb@ceoworks.org,Ife Bobb,Ife,Bobb,Site Director,,ibobb@ceoworks.org,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:54:39.068Z,2025-02-06T20:21:39.907Z
484,Pathways to Housing PA,"5201 Old York Rd 4th floor, Philadelphia, PA 19141, USA","40.03239932556499, -75.14507493117233",,,,,,,,(215) 390-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:52:06.504Z,2024-12-10T19:39:47.040Z
483,"Ready, Willing & Able","1221 Bainbridge St, Philadelphia, PA 19147, USA","39.94248895704966, -75.16278209232043",,,,,,RWA,,(215) 795-3255,,,https://www.rwaphila.org/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:48:53.392Z,2024-12-10T21:53:37.306Z
482,Impact Services Corporation,"1952 E Allegheny Ave, Philadelphia, PA 19134, USA","39.99433439522044, -75.1116852334961",,,,,,,,(215) 739-1600,,,,info@impactservices.org ,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:47:50.073Z,2024-12-10T19:40:46.174Z
481,Cordelia Homes,,"39.9526, -75.1652",,,Housing,Wellness,Support Services,,"Cordelia Homes assists with various reasources, please look below for more information",888-888-8888,,,http://www.simplehomes.org/about-us,,,,,,,,John Doe,,,Contractor,888-888-8888,Exampleemail@example.com,Jane Doe,,,Customer Relations,777-777-7777,Example@example.com,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:11:17.870Z,2025-08-21T17:35:53.557Z
479,Station House Transitional Shelter,"2601 N Broad St, Philadelphia, PA 19132, USA","39.99222618704379, -75.15469931895339",,,,,,,,(215) 225-9230,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T19:10:22.547Z,2024-12-10T19:41:43.731Z
